"","Agency","Account","State","Project","Amount","Senate_Requestor","Originiation","House_Requestor"
"792","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Town of Tully for Water Source Replacement and Transmission Project","1092000","","H","Mannion"
"793","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NY","Village of Aurora for Water Treatment Plant and System Improvements","1092000","","H","Mannion"
"794","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","FL","City of Port St. Lucie for Stormwater Quality Project","750000","","H","Mast"
"795","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","GA","City of South Fulton for Stormwater Improvement Project","1092000","","H","McBath"
"796","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of East Point for PFAS Treatment Facility Project","1092000","","H","McBath"
"797","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of Fairburn for Water Infrastructure Upgrades","1092000","","H","McBath"
"798","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","GA","City of East Point for Norman Berry Drive Stormwater Repairs","1092000","","H","McBath / Williams (GA)"
"799","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of College Park for Lead/Galvanized Water Pipeline Replacement","1092000","","H","McBath / Williams (GA)"
"800","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","DE","Town of Smyrna for Well and Water Treatment Plant Project","1092000","","H","McBride"
"801","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Lago Vista for Wastewater Treatment and Collection System Expansion Project","750000","","H","McCaul"
"802","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","TX","City of Bryan for Wastewater Treatment Plant Construction","1500000","","H","McCaul"
"803","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","TX","City of College Station for Water and Wastewater Line Replacement Project","750000","","H","McCaul"
"804","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","City of Brown City for Sewer System Improvements","2e+06","","H","McClain (MI)"
"805","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Village of Reese for Stormwater Mitigation Improvements","960000","","H","McClain (MI)"
"806","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","City of Bad Axe for Water Infrastructure Project","750000","","H","McClain (MI)"
"807","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","Charter Township of Chesterfield for Water Main Replacement","2e+06","","H","McClain (MI)"
"808","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Harbor Beach for Transmission Main Improvements","2e+06","","H","McClain (MI)"
"809","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Village of Millington for Water and Sewer Infrastructure Replacement","1e+06","","H","McClain (MI)"
"810","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","City of Imlay City for Lead Service Lines and Water Lines Replacement","1750000","","H","McClain (MI)"
"811","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Charter Township of Fort Gratiot for Sewer System Upgrades","1e+06","","H","McClain (MI)"
"812","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Sandusky for Water Infrastructure Improvements","925000","","H","McClain (MI)"
"813","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","Oakland County for Sanitary Sewer Extension Project","750000","","H","McClain (MI)"
"814","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MI","St. Clair Township for Sanitary Pump Station Rehabilitation","1220000","","H","McClain (MI)"
"815","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","Charter Township of Independence for Water Main Extension","1e+06","","H","McClain (MI)"
"816","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MD","Town of Oakland for Water System Improvements Project","1092000","","H","McClain Delaney"
"817","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","Charles City County for Sewer Collection System Modernization Project","1092000","","H","McClellan"
"818","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","City of Hopewell for Hopewell Heretick Avenue Stormwater Project","1092000","","H","McClellan"
"819","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","City of Petersburg for Poor Creek Rehabilitation","1092000","","H","McClellan"
"820","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","Surry County for Wastewater Improvements Phase 2","1092000","","H","McClellan"
"821","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","VA","Town of Lawrenceville for Wastewater Treatment Facility Expansion Project","1092000","","H","McClellan"
"822","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","VA","City of Colonial Heights for Waterline Replacement Project","1092000","","H","McClellan"
"823","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","VA","Henrico County for White Oak Water System Extensions","1092000","","H","McClellan"
"824","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","VA","Prince George County for Beechwood Manor Asbestos Pipe Replacement","8e+05","","H","McClellan"
"825","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Gem Lake for Municipal Water Supply Project Phase 2","1092000","","H","McCollum"
"826","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Stillwater for PFAS Water Treatment Facility","1092000","","H","McCollum"
"827","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","GA","City of Roswell for Water Storage and Redundancy Project","1e+06","","H","McCormick"
"828","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","Charter Township of Fenton for Water Line Replacement Project","1092000","","H","McDonald Rivet"
"829","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Linden for Water Distribution System Modernization","1092000","","H","McDonald Rivet"
"830","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MI","City of Midland for Pump Station Emergency Power Generator Project","6e+05","","H","McDonald Rivet"
"831","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","Town of East Spencer for Water and Sewer Line Replacement Project","1250000","","H","McDowell"
"832","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NC","City of Greensboro for Water and Sewer Line Extension Project","1e+06","","H","McDowell"
"833","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","Louisville-Jefferson County Metropolitan Sewer District for Drainage Response Initiative","1e+06","","H","McGarvey"
"834","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","KY","Louisville-Jefferson County Metropolitan Sewer District for Odor Mitigation and Catch Basin Rehabilitation","1092000","","H","McGarvey"
"835","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","KY","Louisville Water Company for Lead Service Line Replacement","1092000","","H","McGarvey"
"836","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MA","Town of Holliston for Downtown Sewer District Project","1092000","","H","McGovern"
"837","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MA","Leicester Water Supply District for Interconnection Project","950000","","H","McGovern"
"838","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","City of Orange Township for Water and Sewer Main Replacement","1092000","","H","McIver"
"839","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Township of West Orange for Pumping Station Improvement Project","1048000","","H","McIver"
"840","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","City of Orange Township for Drinking Water Main Relocation Project","1092000","","H","McIver"
"841","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","North Hudson Sewerage Authority for Wastewater Treatment Plant Reconstruction","1092000","","H","Menendez"
"842","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Town of Guttenberg for CSO Pipe Improvement Project","1092000","","H","Menendez"
"843","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NJ","Township of North Bergen for Woodcliff Drainage Improvements and Sewer Rehabilitation","1092000","","H","Menendez"
"844","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NJ","City of Elizabeth for Lead Service Line Replacement Project","1e+06","","H","Menendez"
"845","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IN","Greene County for Water and Wastewater Expansion Project","2e+06","","H","Messmer"
"846","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","PA","Williamsport Municipal Water Authority for Transmission Water Line Replacement Project","1e+06","","H","Meuser"
"847","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","Cuyahoga County for Sewer Improvement Project","1250000","","H","Miller (OH)"
"848","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","OH","City of Parma for Sewer Improvements","1e+06","","H","Miller (OH)"
"849","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WV","Town of West Hamlin for Water Treatment Plant Upgrades","1e+06","","H","Miller (WV)"
"850","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WV","Buffalo Creek Public Service District for Water Treatment Plant Upgrade and Expansion","1e+06","","H","Miller (WV)"
"851","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WV","City of Welch for Combined Sewer Overflow Removal Project","750000","","H","Miller (WV)"
"852","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","WV","Boone County Public Service District for Water Improvement Project","750000","","H","Miller (WV)"
"853","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","WV","City of Lewisburg for Water Main Replacements","750000","","H","Miller (WV)"
