"","Agency","Account","State","Project","Amount","Senate_Requestor","Originiation","House_Requestor"
"1049","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Macomb for Storm Sewer Upgrades","1092000","","H","Sorensen"
"1050","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Rock Island for Mill Street Wastewater Treatment Plant Maintenance Project","1092000","","H","Sorensen"
"1051","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","City of Silvis for 3rd and 7th Street Sewer Replacement Project","1092000","","H","Sorensen"
"1052","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","IL","Village of Maquon for Wastewater Plant Improvements","720000","","H","Sorensen"
"1053","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","City of Freeport for Water Main Replacement Project","1092000","","H","Sorensen"
"1054","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","IL","Village of Coal Valley for Water Main Extension and Well #4 Water Tower Construction Project","1092000","","H","Sorensen"
"1055","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","NM","Village of Corrales for Wastewater Main Project","1092000","","H","Stansbury"
"1056","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NM","City of Santa Rosa for Wastewater Rehabilitation Project","1092000","","H","Stansbury"
"1057","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","NM","Town of Bernalillo for Wastewater Treatment Plant Project","1092000","","H","Stansbury"
"1058","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AZ","City of Mesa for Sewer Pipe Inspection and Replacement","1092000","","H","Stanton"
"1059","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AZ","City of Mesa for Vault Meter Rehabilitation Project","592000","","H","Stanton"
"1060","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","AZ","City of Tempe for Kyrene Recharge Well Pipelines Project","1092000","","H","Stanton"
"1061","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","AZ","City of Chandler for New Wells Project","1e+06","","H","Stanton"
"1062","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Duluth for Water Treatment Plant Rehabilitation","1750000","","H","Stauber"
"1063","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Ely for Water System Improvements","2e+06","","H","Stauber"
"1064","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","City of Nashwauk for Water Infrastructure Improvement Project","1061000","","H","Stauber"
"1065","Environmental Protection Agency","STAG—Drinking Water State Revolving Fund","MN","Hibbing Public Utilities Commission for Water Main Replacement and Treatment Plant Upgrade","1e+06","","H","Stauber"
"1066","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Kettle River for Water and Wastewater Improvements Project","1e+06","","H","Stauber"
"1067","Environmental Protection Agency","STAG—Clean Water State Revolving Fund","MN","City of Cook for Wastewater Treatment System Improvements","330000","","H","Stauber"
